created_at,full_text,in_reply_to_screen_name,lang,tweet_url
Sat Jul 01 09:38:42 +0000 2023,@CommuterLine admin plis jgn dicatet. saran yg tidak bermanfaat sy naik di gerbong itu di jam padet atopun engga selalu disitu lebih safety (dari pelecehan) even kalo di jam padet itu ya Allah kaya lagi tempur tp sy tetep setia di gerbong itu,CommuterLine,in,https://x.com/undefined/status/1675076452629508096
Sat Mar 11 13:04:34 +0000 2023,@CommuterLine @yrcfsj sorry bgt nih korban pelecehan tuh ga mudah buat speak up dan lapor good kalau mrk langsung tanggap tp ada yg akan shocked dan takut mau lapor blm kalau pelaku yg biadab malah drama ga ngaku nyerang balik dsb please lah lebih secure lagiiiii,CommuterLine,in,https://x.com/undefined/status/1634540820127961088
Wed Dec 06 07:46:01 +0000 2023,@CommuterLine Sudah saatnya ada cctv di setiap gerbong banayj manfaatnya termasuk merekam jika ada pelecehan,CommuterLine,in,https://x.com/undefined/status/1732305376593523038
Sun Jan 29 18:09:53 +0000 2023,@CommuterLine mohon ditindak ini pelaku perekaman diam diam di krl bogor arah jakartakota sekitar jam 11 di stasiun tj.barat tampaknya pelaku sudah terbiasa melakukan pelecehan seperti ini awalnya saya kira dia merekam laki laki di depannya setelah diperhatikan dia rekam- https://t.co/WNkERZZwUd,CommuterLine,in,https://x.com/undefined/status/1619759754569744384
Mon Nov 20 03:07:11 +0000 2023,@CommuterLine gimana sih petugas yg jaga di gerbong tuh gak ada standby di umumin kl dapat pelecehan harus lapor lah sampe gue td ramein di gerbong aja kagak ada petugas njir sampe orangnya turun sendiri di stasiun Kebayoran itu gara gara diliatin segerbong dan saya bilang,CommuterLine,in,https://x.com/undefined/status/1726437003481547034
Fri Apr 28 12:01:06 +0000 2023,@CommuterLine crosscheck pegawaimu itu lagi yakali baru 1 thread tuduhan langsung pecat. Bukti pelecehan aja ga ada. Lu @anissca bajingan. Mampus lu kena thread lu sendiri.,CommuterLine,in,https://x.com/undefined/status/1651919466769555457
Wed Mar 15 01:11:54 +0000 2023,@CommuterLine Ga kaget sih kalo angka pelecehan seksual dan angka kriminalitas makin ningkat di KRL karena kereta udah penuh masih terus di masukkin orang apalg yg sf8 dan sf10. Evaluasi yg lambat.,CommuterLine,in,https://x.com/undefined/status/1635811024132804608
Fri Dec 22 00:58:11 +0000 2023,@CommuterLine min klo pelecehan seks di krl bisa kita laporin ke petugas bagaimana klo ada adegan mesra mesraan yg terlalu lebay di krl boleh gak kita laporin jg ke petugas soalnya mengganggu bgt risih dan eneq diliatnya ,CommuterLine,in,https://x.com/undefined/status/1738000949300629633
Fri Apr 28 03:33:07 +0000 2023,@CommuterLine update untuk kasusnya DIRAY yg diberitahukan berbuat pelecehan seksual.. Ada bukti pasti Kereta nomor berapa waktu n ada bukti yg lain selain cuitan yg sdh dihapus n krn jika dilihat akun sdh private @BudiKaryaS @perkeretaapian @erickthohir @CurhatKRL,CommuterLine,in,https://x.com/undefined/status/1651791626971545601
Thu Jan 05 04:51:45 +0000 2023,@CommuterLine @minjeongismine penumpang kadang gak tau ka yg dinaikin no berapa n gerbong ke berapa ini biar terjadi sesuatu msalnya pelecehan atau kriminal cepat action nya,CommuterLine,in,https://x.com/undefined/status/1610861585979039744
Tue Jan 31 13:41:37 +0000 2023,@CommuterLine barusan ada kejadian pelecehan lagi dan mbak baju hijau yang jadi korbannya. satpam gerbong krl nya kemana ya? sampai2 harus korban dan pelanggan lain yang nyeret pelaku keluar dari kereta utk dilaporin. tolong lah semakin diperhatikan! #krl #commuterline https://t.co/FA4Z9rRn3d,CommuterLine,in,https://x.com/undefined/status/1620417016816615425
Tue Jan 30 01:04:43 +0000 2024,@CommuterLine @puffymealz udah tau bahaya kalo ujan licin itu udah ada peron yg bener bukannya dipake bingung gw dah,CommuterLine,in,https://x.com/undefined/status/1752135722054918225
Tue Feb 27 23:05:23 +0000 2024,@CommuterLine ini sampe kapan peron 4 stasiun tambun mau dipake ya? Kalo ujan bahaya banget https://t.co/UJc3PWQfO1,CommuterLine,in,https://x.com/undefined/status/1762614936004636994
Mon Mar 18 10:06:58 +0000 2024,@CommuterLine Oke. Takutnya yg iseng dan bikin bahaya kereta pas lewat. Tolong banget dicek ya. Makasi Min!,CommuterLine,in,https://x.com/undefined/status/1769666798130217203
Mon Jul 15 01:22:30 +0000 2024,@CommuterLine 15 july 07:45 peron 3 stasiun cakung kasian korbannya ngejar pelaku ke perlintasan kereta kan bahaya security ilang semua itu gak tau deh pelaku udh ke tangkep atau gimana,CommuterLine,in,https://x.com/undefined/status/1812658968592085359
Tue May 28 10:08:21 +0000 2024,@CommuterLine peron jalur 3 Depok Baru kapan mau ditinggiin ya peronnya? Bahaya lho ini antara peron sama lantai kereta beda tingginya. https://t.co/BAa8Wd6ozB,CommuterLine,in,https://x.com/undefined/status/1795396686157926880
Thu Nov 28 14:17:06 +0000 2024,@CommuterLine min tolong di stasiun tn abang di peron2 nya dijagain petugas di area keberangkatan cikarang/bekasi. banyak bgt modus2 min bahaya buat cewek,CommuterLine,in,https://x.com/undefined/status/1862138655462072612
Sun May 05 01:11:22 +0000 2024,@CommuterLine Sebenarnya selalu ngeliat celah peron siih mind yg bikin bahaya itu sebenarnya pas mau turun di dorong2 dri belakang krna mau rebutan naik eskalator ada lg yg sambil main hp ,CommuterLine,in,https://x.com/undefined/status/1786926629291429919
Fri Mar 01 12:09:00 +0000 2024,@CommuterLine Buka loker baru min. Divisi pertamanan KAI. Tugasnya mencegah dan memastikan jalur kereta clearance dari bahaya. Jadi khusus pohon yg deket jalur kereta. DKLH nya ga aktif siihh...,CommuterLine,in,https://x.com/undefined/status/1763536917478731780
Fri May 31 11:18:24 +0000 2024,@CommuterLine asli ini stasiun tanjung baratmu bahaya bgt. Proyek gak beres2. Peron sempit penumpang numpuk.... Gak kebayang klo ada yg jatuh ke rel. Mau minta pertanggung-jawaban siapa....????,CommuterLine,in,https://x.com/undefined/status/1796501476665405905
Fri Jun 21 11:23:23 +0000 2024,@CommuterLine stasiun duri jalur 5 dibawah tangga manual bahaya ini jalan byk yg kesandung dan jatuh minim lampu penerangan lagi. https://t.co/CH84RxQ776,CommuterLine,in,https://x.com/undefined/status/1804112877298815276
Fri May 24 00:30:55 +0000 2024,@CommuterLine tolong krl harus kah kaya gini ? Ini baru di depok loh orang udah marah marah gara2 dikurangin jadwal dgn alasan template. Ini tuh bahaya buat keselamatan selain itu dampak lain dr keputusan anda itu buat orang banyak ini dr pihak anda siap bertanggung jwb ga ? https://t.co/k91C56ONYl,CommuterLine,in,https://x.com/undefined/status/1793801819275272498
Sat Feb 03 06:27:18 +0000 2024,@CommuterLine Diangkat gitu lewat tangga ga bahaya kah ? Alternatif stasiun mana yg dekat ada lift yg proper krn saya mau ke daerah kebon sirih,CommuterLine,in,https://x.com/undefined/status/1753666451284881638
